Bias,Data Trace Real_A,Data Trace Real_B
-1.00000e+01,4.128402e-11,7.045885e-05
-9.96200e+00,4.168004e-11,7.116923e-05
-9.92500e+00,4.191826e-11,7.251221e-05
-9.88700e+00,4.205388e-11,7.276804e-05
-9.85000e+00,4.220765e-11,7.319168e-05
-9.81200e+00,4.218823e-11,7.372472e-05
-9.77500e+00,4.234418e-11,7.383005e-05
-9.73700e+00,4.232935e-11,7.410483e-05
-9.70000e+00,4.242872e-11,7.432017e-05
-9.66200e+00,4.254398e-11,7.436046e-05
-9.62500e+00,4.257080e-11,7.506458e-05
-9.58700e+00,4.259970e-11,7.516896e-05
-9.55000e+00,4.272723e-11,7.519600e-05
-9.51200e+00,4.276623e-11,7.565208e-05
-9.47500e+00,4.282496e-11,7.593680e-05
-9.43700e+00,4.285793e-11,7.655818e-05
-9.40000e+00,4.296774e-11,7.676960e-05
-9.36200e+00,4.301172e-11,7.636400e-05
-9.32500e+00,4.307113e-11,7.669011e-05
-9.28700e+00,4.318501e-11,7.716295e-05
-9.25000e+00,4.319110e-11,7.733537e-05
-9.21200e+00,4.328146e-11,7.758783e-05
-9.17500e+00,4.334720e-11,7.785992e-05
-9.13700e+00,4.336281e-11,7.786250e-05
-9.10000e+00,4.340304e-11,7.872088e-05
-9.06200e+00,4.361991e-11,7.866035e-05
-9.02500e+00,4.359408e-11,7.912054e-05
-8.98700e+00,4.367113e-11,7.952788e-05
-8.95000e+00,4.367839e-11,7.992931e-05
-8.91200e+00,4.376358e-11,7.995494e-05
-8.87500e+00,4.385937e-11,8.038957e-05
-8.83700e+00,4.395251e-11,8.071436e-05
-8.80000e+00,4.403296e-11,8.112944e-05
-8.76200e+00,4.407829e-11,8.100174e-05
-8.72500e+00,4.419647e-11,8.161490e-05
-8.68700e+00,4.426204e-11,8.171947e-05
-8.65000e+00,4.434130e-11,8.201628e-05
-8.61200e+00,4.442119e-11,8.238039e-05
-8.57500e+00,4.447000e-11,8.269308e-05
-8.53700e+00,4.450883e-11,8.334368e-05
-8.50000e+00,4.456040e-11,8.354914e-05
-8.46200e+00,4.469229e-11,8.332280e-05
-8.42500e+00,4.469452e-11,8.381777e-05
-8.38700e+00,4.484028e-11,8.349116e-05
-8.35000e+00,4.488884e-11,8.435216e-05
-8.31200e+00,4.493421e-11,8.466739e-05
-8.27500e+00,4.496933e-11,8.506369e-05
-8.23700e+00,4.516360e-11,8.540611e-05
-8.20000e+00,4.518431e-11,8.550255e-05
-8.16200e+00,4.526641e-11,8.610522e-05
-8.12500e+00,4.532122e-11,8.586113e-05
-8.08700e+00,4.533367e-11,8.640232e-05
-8.05000e+00,4.543682e-11,8.727142e-05
-8.01200e+00,4.559140e-11,8.721908e-05
-7.97500e+00,4.557053e-11,8.789699e-05
-7.93700e+00,4.566172e-11,8.837991e-05
-7.90000e+00,4.582109e-11,8.837260e-05
-7.86200e+00,4.589973e-11,8.826961e-05
-7.82500e+00,4.589659e-11,8.885560e-05
-7.78700e+00,4.596602e-11,8.925802e-05
-7.75000e+00,4.609246e-11,8.952017e-05
-7.71200e+00,4.608867e-11,8.996447e-05
-7.67500e+00,4.626798e-11,9.056408e-05
-7.63700e+00,4.633996e-11,9.047092e-05
-7.60000e+00,4.631025e-11,9.123288e-05
-7.56200e+00,4.644826e-11,9.137634e-05
-7.52500e+00,4.654502e-11,9.223638e-05
-7.48700e+00,4.659343e-11,9.243424e-05
-7.45000e+00,4.679108e-11,9.277876e-05
-7.41200e+00,4.671260e-11,9.329730e-05
-7.37500e+00,4.683319e-11,9.304034e-05
-7.33700e+00,4.693909e-11,9.356767e-05
-7.30000e+00,4.702205e-11,9.394899e-05
-7.26200e+00,4.710199e-11,9.429594e-05
-7.22500e+00,4.714398e-11,9.443905e-05
-7.18700e+00,4.735485e-11,9.513072e-05
-7.15000e+00,4.735682e-11,9.581442e-05
-7.11200e+00,4.739706e-11,9.607978e-05
-7.07500e+00,4.758413e-11,9.648773e-05
-7.03700e+00,4.757570e-11,9.660189e-05
-7.00000e+00,4.765076e-11,9.705127e-05
-6.96200e+00,4.771925e-11,9.747624e-05
-6.92500e+00,4.786801e-11,9.779209e-05
-6.88700e+00,4.791978e-11,9.849864e-05
-6.85000e+00,4.799551e-11,9.849343e-05
-6.81200e+00,4.811617e-11,9.874986e-05
-6.77500e+00,4.817723e-11,9.964847e-05
-6.73700e+00,4.825977e-11,9.999528e-05
-6.70000e+00,4.839568e-11,1.002251e-04
-6.66200e+00,4.846135e-11,1.006259e-04
-6.62500e+00,4.856202e-11,1.011692e-04
-6.58700e+00,4.862006e-11,1.018786e-04
-6.55000e+00,4.873290e-11,1.018369e-04
-6.51200e+00,4.875909e-11,1.022453e-04
-6.47500e+00,4.892710e-11,1.026261e-04
-6.43700e+00,4.898849e-11,1.028464e-04
-6.40000e+00,4.905456e-11,1.042953e-04
-6.36200e+00,4.912508e-11,1.046636e-04
-6.32500e+00,4.933859e-11,1.040535e-04
-6.28700e+00,4.933005e-11,1.050282e-04
-6.25000e+00,4.942366e-11,1.063133e-04
-6.21200e+00,4.954501e-11,1.058169e-04
-6.17500e+00,4.971721e-11,1.062534e-04
-6.13700e+00,4.974953e-11,1.070234e-04
-6.10000e+00,4.987476e-11,1.071100e-04
-6.06200e+00,4.995230e-11,1.081865e-04
-6.02500e+00,5.004872e-11,1.079705e-04
-5.98700e+00,5.014614e-11,1.087589e-04
-5.95000e+00,5.026507e-11,1.093516e-04
-5.91200e+00,5.029331e-11,1.098335e-04
-5.87500e+00,5.051035e-11,1.106455e-04
-5.83700e+00,5.059616e-11,1.109047e-04
-5.80000e+00,5.061468e-11,1.118713e-04
-5.76200e+00,5.082356e-11,1.118640e-04
-5.72500e+00,5.079947e-11,1.127077e-04
-5.68700e+00,5.097133e-11,1.129494e-04
-5.65000e+00,5.101658e-11,1.131970e-04
-5.61200e+00,5.113677e-11,1.142029e-04
-5.57500e+00,5.129876e-11,1.148113e-04
-5.53700e+00,5.134209e-11,1.154384e-04
-5.50000e+00,5.148812e-11,1.162854e-04
-5.46200e+00,5.141353e-11,1.166860e-04
-5.42500e+00,5.163594e-11,1.168524e-04
-5.38700e+00,5.184454e-11,1.172104e-04
-5.35000e+00,5.186062e-11,1.182337e-04
-5.31200e+00,5.202660e-11,1.187395e-04
-5.27500e+00,5.209319e-11,1.191160e-04
-5.23700e+00,5.216171e-11,1.195593e-04
-5.20000e+00,5.226105e-11,1.204669e-04
-5.16200e+00,5.243227e-11,1.211211e-04
-5.12500e+00,5.253312e-11,1.213677e-04
-5.08700e+00,5.265319e-11,1.224103e-04
-5.05000e+00,5.279896e-11,1.232272e-04
-5.01200e+00,5.290908e-11,1.235379e-04
-4.97500e+00,5.305755e-11,1.243841e-04
-4.93700e+00,5.307356e-11,1.247461e-04
-4.90000e+00,5.320388e-11,1.249991e-04
-4.86200e+00,5.322116e-11,1.259610e-04
-4.82500e+00,5.342904e-11,1.268803e-04
-4.78700e+00,5.354566e-11,1.273715e-04
-4.75000e+00,5.368264e-11,1.280460e-04
-4.71200e+00,5.382137e-11,1.288097e-04
-4.67500e+00,5.393121e-11,1.290251e-04
-4.63700e+00,5.409469e-11,1.298690e-04
-4.60000e+00,5.420444e-11,1.308298e-04
-4.56200e+00,5.427548e-11,1.313169e-04
-4.52500e+00,5.446428e-11,1.322051e-04
-4.48700e+00,5.447662e-11,1.330431e-04
-4.45000e+00,5.471139e-11,1.335181e-04
-4.41200e+00,5.480420e-11,1.344653e-04
-4.37500e+00,5.483947e-11,1.352601e-04
-4.33700e+00,5.504498e-11,1.363229e-04
-4.30000e+00,5.512334e-11,1.369266e-04
-4.26200e+00,5.535065e-11,1.374951e-04
-4.22500e+00,5.550084e-11,1.382541e-04
-4.18700e+00,5.556685e-11,1.390364e-04
-4.15000e+00,5.576539e-11,1.394834e-04
-4.11200e+00,5.581344e-11,1.406878e-04
-4.07500e+00,5.596003e-11,1.414475e-04
-4.03700e+00,5.602391e-11,1.426183e-04
-4.00000e+00,5.626793e-11,1.432351e-04
-3.96200e+00,5.638486e-11,1.439778e-04
-3.92500e+00,5.661751e-11,1.452927e-04
-3.88700e+00,5.662452e-11,1.461667e-04
-3.85000e+00,5.677506e-11,1.474448e-04
-3.81200e+00,5.692351e-11,1.481013e-04
-3.77500e+00,5.708521e-11,1.484095e-04
-3.73700e+00,5.729494e-11,1.497911e-04
-3.70000e+00,5.744548e-11,1.506739e-04
-3.66200e+00,5.752577e-11,1.512499e-04
-3.62500e+00,5.763393e-11,1.525944e-04
-3.58700e+00,5.776717e-11,1.527169e-04
-3.55000e+00,5.792506e-11,1.544040e-04
-3.51200e+00,5.814295e-11,1.553487e-04
-3.47500e+00,5.826013e-11,1.560700e-04
-3.43700e+00,5.851993e-11,1.579027e-04
-3.40000e+00,5.864214e-11,1.580716e-04
-3.36200e+00,5.875826e-11,1.591991e-04
-3.32500e+00,5.887598e-11,1.602224e-04
-3.28700e+00,5.901578e-11,1.618068e-04
-3.25000e+00,5.913383e-11,1.630795e-04
-3.21200e+00,5.942318e-11,1.637678e-04
-3.17500e+00,5.954811e-11,1.654161e-04
-3.13700e+00,5.962612e-11,1.664805e-04
-3.10000e+00,5.987694e-11,1.671064e-04
-3.06200e+00,6.000185e-11,1.684106e-04
-3.02500e+00,6.020742e-11,1.702783e-04
-2.98700e+00,6.034801e-11,1.704729e-04
-2.95000e+00,6.058084e-11,1.716011e-04
-2.91200e+00,6.063473e-11,1.733044e-04
-2.87500e+00,6.086105e-11,1.747186e-04
-2.83700e+00,6.104733e-11,1.759307e-04
-2.80000e+00,6.125529e-11,1.771749e-04
-2.76200e+00,6.142158e-11,1.790043e-04
-2.72500e+00,6.161329e-11,1.803562e-04
-2.68700e+00,6.180113e-11,1.818675e-04
-2.65000e+00,6.195195e-11,1.829386e-04
-2.61200e+00,6.213108e-11,1.848232e-04
-2.57500e+00,6.240655e-11,1.859748e-04
-2.53700e+00,6.259117e-11,1.877850e-04
-2.50000e+00,6.271628e-11,1.887361e-04
-2.46200e+00,6.297493e-11,1.909189e-04
-2.42500e+00,6.308414e-11,1.921547e-04
-2.38700e+00,6.327240e-11,1.937910e-04
-2.35000e+00,6.355336e-11,1.954221e-04
-2.31200e+00,6.370945e-11,1.969828e-04
-2.27500e+00,6.389608e-11,1.990585e-04
-2.23700e+00,6.410272e-11,2.006646e-04
-2.20000e+00,6.440677e-11,2.018730e-04
-2.16200e+00,6.471360e-11,2.044329e-04
-2.12500e+00,6.479101e-11,2.062573e-04
-2.08700e+00,6.500871e-11,2.082100e-04
-2.05000e+00,6.524210e-11,2.104353e-04
-2.01200e+00,6.551414e-11,2.124169e-04
-1.97500e+00,6.572395e-11,2.142398e-04
-1.93700e+00,6.582979e-11,2.166964e-04
-1.90000e+00,6.619543e-11,2.186958e-04
-1.86200e+00,6.636600e-11,2.206533e-04
-1.82500e+00,6.658723e-11,2.231390e-04
-1.78700e+00,6.690620e-11,2.255514e-04
-1.75000e+00,6.710753e-11,2.277894e-04
-1.71200e+00,6.744585e-11,2.305753e-04
-1.67500e+00,6.764277e-11,2.329254e-04
-1.63700e+00,6.788622e-11,2.357107e-04
-1.60000e+00,6.808082e-11,2.379415e-04
-1.56200e+00,6.834908e-11,2.407383e-04
-1.52500e+00,6.861686e-11,2.439020e-04
-1.48700e+00,6.896742e-11,2.471798e-04
-1.45000e+00,6.917472e-11,2.501577e-04
-1.41200e+00,6.947604e-11,2.532091e-04
-1.37500e+00,6.968733e-11,2.557585e-04
-1.33700e+00,7.003172e-11,2.591797e-04
-1.30000e+00,7.036301e-11,2.626554e-04
-1.26200e+00,7.054904e-11,2.662672e-04
-1.22500e+00,7.089148e-11,2.701042e-04
-1.18700e+00,7.119408e-11,2.739755e-04
-1.15000e+00,7.149586e-11,2.773395e-04
-1.11200e+00,7.167313e-11,2.815531e-04
-1.07500e+00,7.192512e-11,2.853115e-04
-1.03700e+00,7.232781e-11,2.895578e-04
-1.00000e+00,7.260000e-11,2.946068e-04
-9.62000e-01,7.305280e-11,2.995179e-04
-9.25000e-01,7.331143e-11,3.037583e-04
-8.87000e-01,7.367008e-11,3.088913e-04
-8.50000e-01,7.391173e-11,3.137628e-04
-8.12000e-01,7.421444e-11,3.201638e-04
-7.75000e-01,7.454216e-11,3.246521e-04
-7.37000e-01,7.484228e-11,3.303803e-04
-7.00000e-01,7.512028e-11,3.365106e-04
-6.62000e-01,7.553409e-11,3.430792e-04
-6.25000e-01,7.575297e-11,3.500840e-04
-5.87000e-01,7.618148e-11,3.574332e-04
-5.50000e-01,7.646448e-11,3.643211e-04
-5.12000e-01,7.680692e-11,3.727633e-04
-4.75000e-01,7.713924e-11,3.809543e-04
-4.37000e-01,7.745142e-11,3.899471e-04
-4.00000e-01,7.767382e-11,3.993525e-04
-3.62000e-01,7.798867e-11,4.093279e-04
-3.25000e-01,7.829472e-11,4.198055e-04
-2.87000e-01,7.856130e-11,4.326399e-04
-2.50000e-01,7.869799e-11,4.454286e-04
-2.12000e-01,7.884465e-11,4.591134e-04
-1.75000e-01,7.897275e-11,4.744521e-04
-1.37000e-01,7.898895e-11,4.923133e-04
-1.00000e-01,7.904452e-11,5.116504e-04
-6.20000e-02,7.872398e-11,5.345264e-04
-2.50000e-02,7.816459e-11,5.610356e-04
1.30000e-02,7.708393e-11,5.928922e-04
5.00000e-02,7.534312e-11,6.334411e-04
8.80000e-02,7.155292e-11,6.884004e-04
1.25000e-01,6.406656e-11,7.602671e-04
1.63000e-01,5.146983e-11,8.461995e-04
2.00000e-01,3.790228e-11,9.256911e-04
2.38000e-01,2.751702e-11,9.963515e-04
2.75000e-01,2.133023e-11,1.060992e-03
3.13000e-01,1.729087e-11,1.128526e-03
3.50000e-01,1.510686e-11,1.198000e-03
3.88000e-01,1.359715e-11,1.272088e-03
4.25000e-01,1.285256e-11,1.347989e-03
4.63000e-01,1.215659e-11,1.428866e-03
5.00000e-01,1.182368e-11,1.507244e-03
5.38000e-01,1.151119e-11,1.586634e-03
5.75000e-01,1.158844e-11,1.662913e-03
6.13000e-01,1.157398e-11,1.740333e-03
6.50000e-01,1.153693e-11,1.811059e-03
6.88000e-01,1.177691e-11,1.879704e-03
7.25000e-01,1.204116e-11,1.942491e-03
7.63000e-01,1.230105e-11,2.002195e-03
8.00000e-01,1.238797e-11,2.054975e-03
8.38000e-01,1.278971e-11,2.103265e-03
8.75000e-01,1.312792e-11,2.142088e-03
9.13000e-01,1.351859e-11,2.178169e-03
9.50000e-01,1.401695e-11,2.205006e-03
9.88000e-01,1.464417e-11,2.227074e-03
1.02500e+00,1.506869e-11,2.243201e-03
1.06300e+00,1.582107e-11,2.256196e-03
1.10000e+00,1.651874e-11,2.261824e-03
1.13800e+00,1.734857e-11,2.262807e-03
1.17500e+00,1.810164e-11,2.260667e-03
1.21300e+00,1.910706e-11,2.255478e-03
1.25000e+00,1.985600e-11,2.244710e-03
1.28800e+00,2.067463e-11,2.234045e-03
1.32500e+00,2.112296e-11,2.222169e-03
1.36300e+00,2.169935e-11,2.207591e-03
1.40000e+00,2.185089e-11,2.193166e-03
1.43800e+00,2.157243e-11,2.181095e-03
1.47500e+00,2.115600e-11,2.171112e-03
1.51300e+00,2.057854e-11,2.159648e-03
1.55000e+00,1.958694e-11,2.151960e-03
1.58800e+00,1.831811e-11,2.146433e-03
1.62500e+00,1.677778e-11,2.143704e-03
1.66300e+00,1.503220e-11,2.145496e-03
1.70000e+00,1.335075e-11,2.150552e-03
1.73800e+00,1.172909e-11,2.158694e-03
1.77500e+00,1.022017e-11,2.167164e-03
1.81300e+00,8.846307e-12,2.177401e-03
1.85000e+00,7.987108e-12,2.186607e-03
1.88800e+00,7.080731e-12,2.198157e-03
1.92500e+00,6.368533e-12,2.208538e-03
1.96300e+00,5.864442e-12,2.221311e-03
2.00000e+00,5.527750e-12,2.232534e-03
2.03800e+00,5.289355e-12,2.244885e-03
2.07500e+00,4.745054e-12,2.259760e-03
2.11300e+00,4.614515e-12,2.275609e-03
2.15000e+00,4.566515e-12,2.292328e-03
2.18800e+00,4.592572e-12,2.308943e-03
2.22500e+00,4.578805e-12,2.326778e-03
2.26300e+00,4.325677e-12,2.343544e-03
2.30000e+00,4.421507e-12,2.358715e-03
2.33800e+00,4.567469e-12,2.371701e-03
2.37500e+00,4.657922e-12,2.384310e-03
2.41300e+00,4.639166e-12,2.394791e-03
2.45000e+00,4.676543e-12,2.404365e-03
2.48800e+00,4.843986e-12,2.410874e-03
2.52500e+00,5.034541e-12,2.413562e-03
2.56300e+00,5.109281e-12,2.418416e-03
2.60000e+00,5.317226e-12,2.418122e-03
2.63800e+00,5.538291e-12,2.417648e-03
2.67500e+00,5.820578e-12,2.416383e-03
2.71300e+00,5.841192e-12,2.414973e-03
2.75000e+00,6.149698e-12,2.411179e-03
2.78800e+00,6.412893e-12,2.410771e-03
2.82500e+00,6.583357e-12,2.403217e-03
2.86300e+00,7.010318e-12,2.400421e-03
2.90000e+00,7.291927e-12,2.397993e-03
2.93800e+00,7.471562e-12,2.395608e-03
2.97500e+00,7.860781e-12,2.391341e-03
3.01300e+00,8.283742e-12,2.389606e-03
3.05000e+00,8.435488e-12,2.384951e-03
3.08800e+00,9.019395e-12,2.378325e-03
3.12500e+00,9.443629e-12,2.376064e-03
3.16300e+00,9.805391e-12,2.370449e-03
3.20000e+00,1.016868e-11,2.370752e-03
3.23800e+00,1.072343e-11,2.366822e-03
3.27500e+00,1.119941e-11,2.362350e-03
3.31300e+00,1.159388e-11,2.359397e-03
3.35000e+00,1.211783e-11,2.356194e-03
3.38800e+00,1.269172e-11,2.353186e-03
3.42500e+00,1.341422e-11,2.351381e-03
3.46300e+00,1.388114e-11,2.352002e-03
3.50000e+00,1.443946e-11,2.346344e-03
3.53800e+00,1.500963e-11,2.342325e-03
3.57500e+00,1.564980e-11,2.338086e-03
3.61300e+00,1.620661e-11,2.333998e-03
3.65000e+00,1.696592e-11,2.330873e-03
3.68800e+00,1.750099e-11,2.327017e-03
3.72500e+00,1.832931e-11,2.326116e-03
3.76300e+00,1.893360e-11,2.322216e-03
3.80000e+00,1.953001e-11,2.317792e-03
3.83800e+00,2.016055e-11,2.317782e-03
3.87500e+00,2.077495e-11,2.314318e-03
3.91300e+00,2.146198e-11,2.320691e-03
3.95000e+00,2.206703e-11,2.317703e-03
3.98800e+00,2.272003e-11,2.320225e-03
4.02500e+00,2.334481e-11,2.324095e-03
4.06300e+00,2.389681e-11,2.325924e-03
4.10000e+00,2.421311e-11,2.328905e-03
4.13800e+00,2.467770e-11,2.333055e-03
4.17500e+00,2.511202e-11,2.340728e-03
4.21300e+00,2.553884e-11,2.348354e-03
4.25000e+00,2.594202e-11,2.356830e-03
4.28800e+00,2.605921e-11,2.362868e-03
4.32500e+00,2.648754e-11,2.373630e-03
4.36300e+00,2.679547e-11,2.384986e-03
4.40000e+00,2.696214e-11,2.394029e-03
4.43800e+00,2.727429e-11,2.401725e-03
4.47500e+00,2.751700e-11,2.414387e-03
4.51300e+00,2.791704e-11,2.426800e-03
4.55000e+00,2.810184e-11,2.438904e-03
4.58800e+00,2.855213e-11,2.450841e-03
4.62500e+00,2.861236e-11,2.461559e-03
4.66300e+00,2.877427e-11,2.474111e-03
4.70000e+00,2.930862e-11,2.490446e-03
4.73800e+00,2.946517e-11,2.504275e-03
4.77500e+00,2.992244e-11,2.519702e-03
4.81300e+00,2.981968e-11,2.530353e-03
4.85000e+00,3.045469e-11,2.550686e-03
4.88800e+00,3.095895e-11,2.572096e-03
4.92500e+00,3.150214e-11,2.583128e-03
4.96300e+00,3.155233e-11,2.595639e-03
5.00000e+00,3.187134e-11,2.611744e-03